Age(eg.21),Gender,Occupation,What is your personal monthly income?  ,Where do you reside? ,Do you use UPI for transactions?  ,What are your reasons for not using UPI? (Select all that apply)  ,How often do you use UPI for transactions? ,Which UPI app have you been primarily using for the past 6 months?  ,"Do you use any other UPI apps for transactions besides your primary UPI app? If yes, please specify  ","How satisfied are you with the following features of your UPI app?   [Transaction Speed	]","How satisfied are you with the following features of your UPI app?   [Bill Payment	]","How satisfied are you with the following features of your UPI app?   [Payment Reminders	]","How satisfied are you with the following features of your UPI app?   [User Interface	]",How satisfied are you with the following features of your UPI app?   [Security Features],How satisfied are you with the following features of your UPI app?   [Coverage (Merchant & Bank Support)],What types of transactions do you use your UPI app for? (Select frequency for each type) [Peer-to-peer transfers],"What types of transactions do you use your UPI app for? (Select frequency for each type) [Bill payments(e.g., electricity, water, gas, broadband)]",What types of transactions do you use your UPI app for? (Select frequency for each type) [Mobile recharges and DTH payments],What types of transactions do you use your UPI app for? (Select frequency for each type) [Online shopping],"What types of transactions do you use your UPI app for? (Select frequency for each type) [Ticket bookings (movies, flights, etc.)]","What types of transactions do you use your UPI app for? (Select frequency for each type) [Government-related payments (taxes, fines, etc.)]",What types of transactions do you use your UPI app for? (Select frequency for each type) [Offline merchant payments],What types of transactions do you use your UPI app for? (Select frequency for each type) [Loan or EMI Repayments],What types of transactions do you use your UPI app for? (Select frequency for each type) [Donations],What type of rewards or cashback offers do you find most attractive?  (Multiple choices),Which payment method do you use the most besides your UPI app? ,What factors influence your choice of UPI app? (Rate the importance of each factor) [Transaction speed],What factors influence your choice of UPI app? (Rate the importance of each factor) [Security & Fraud Protection],What factors influence your choice of UPI app? (Rate the importance of each factor) [Cashback/Rewards],What factors influence your choice of UPI app? (Rate the importance of each factor) [Ease of use],What factors influence your choice of UPI app? (Rate the importance of each factor) [Transaction limits (maximum transaction amount allowed)],What factors influence your choice of UPI app? (Rate the importance of each factor) [24/7 Customer Support Availability],"What factors influence your choice of UPI app? (Rate the importance of each factor) [Payment Reminder Feature (Bills, Subscriptions, EMI, Rent, etc.)]",What factors influence your choice of UPI app? (Rate the importance of each factor) [User interface & experience],What factors influence your choice of UPI app? (Rate the importance of each factor) [Ease of linking bank accounts],Have you ever hesitated to make a large transaction using UPI due to security concerns?  ,What challenges do you face while using UPI apps?    ,"How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Dependency on cash/cards	]",How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Frequency of digital transactions],"How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Ability to track expenses	]",How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Bill Payments & Subscription Management],"How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Savings habits	]",How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Impulse buying behavior],How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Payment convenience at small/local merchant],"Do you use your UPI app for business-related transactions (e.g., receiving payments from clients)? ",How often do you use UPI apps for payments at small/local merchants? ,How satisfied are you with your primary UPI app overall ? ,Would you recommend your UPI app to others ?
29,Male,Business Owner,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,Paytm,Very Dissatisfied,Very Dissatisfied,Neutral,Neutral,Neutral,Very Dissatisfied,Rarely,Weekly,Monthly,Monthly,Monthly,Monthly,Rarely,Never,Monthly,Discounts on bills and recharges,Debit card,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Yes,Lack of Awareness,No Change,No Change,No Change,No Change,No Change,No Change,No Change,Yes,Occasionally,5,6
21,Male,Salaried Professional,"₹50,000 - ₹1,00,000",Urban,Yes,,Daily,Amazon Pay.,Google Pay,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Daily,Weekly,Monthly,Monthly,Monthly,Monthly,Daily,Rarely,Rarely,Cashbacks on transaction amounts,Cash,Very Important,Very Important,Moderately Important,Important,Very Important,Very Important,Very Important,Important,Important,No,Technical Glitches;Transaction Failures,Moderately Declined,Moderately Declined,Moderately Declined,Significantly  Declined,Significantly  Declined,Significantly Increased,Significantly Increased,Yes,Frequently,4,9
24.5,Male,Salaried Professional,"₹20,000 - ₹50,000",Rural,Yes,,Daily,Paytm,Google Pay,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Weekly,Rarely,Rarely,Rarely,Rarely,Rarely,Weekly,Rarely,Rarely,Cashbacks on transaction amounts,Cash,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Yes,Technical Glitches,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No,Frequently,4,9
30,Male,Salaried Professional,"₹20,000 - ₹50,000",Urban,Yes,,Daily,Google Pay,PhonePe,Very Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Neutral,Neutral,Daily,Monthly,Monthly,Weekly,Rarely,Monthly,Never,Monthly,Never,Cashbacks on transaction amounts,Cash,Very Important,Very Important,Very Important,Slightly Important,Very Important,Very Important,Not Important,Not Important,Slightly Important,Yes,Technical Glitches;Transaction Failures;Security Concerns;Other,Moderately Declined,No Change,No Change,No Change,No Change,No Change,No Change,No,Frequently,3,5
21,Female,Salaried Professional,"₹20,000 - ₹50,000",Urban,Yes,,Daily,Google Pay,PhonePe,Neutral,Very Dissatisfied,Very Dissatisfied,Neutral,Dissatisfied,Neutral,Daily,Monthly,Monthly,Monthly,Monthly,Rarely,Rarely,Never,Rarely,Discounts on bills and recharges,Debit card,Slightly Important,Very Important,Moderately Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Yes,Technical Glitches;Transaction Failures;Security Concerns,Moderately Increased,Moderately Increased,Moderately Increased,Moderately Increased,Moderately Increased,Moderately Increased,Moderately Increased,Yes,Frequently,4,9
29,Male,Other,"Below ₹20,000",Urban,Yes,,Daily,PhonePe,Google Pay,Very Satisfied,Very Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Daily,Monthly,Weekly,Monthly,Weekly,Monthly,Rarely,Rarely,Monthly,Cashbacks on transaction amounts;Discounts on bills and recharges;Referral bonuses for inviting friends;Special discounts on partner merchant stores;Exclusive offers on financial products,Cash,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Technical Glitches;Transaction Failures;Security Concerns;Lack of Awareness;Other,Significantly  Declined,Significantly Increased,Moderately Increased,Significantly Increased,Moderately Declined,Moderately Increased,Significantly Increased,Yes,Frequently,4,9
25,Male,Salaried Professional,"₹20,000 - ₹50,000",Urban,Yes,,Daily,Google Pay,"No, I only use my primary UPI app",Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Daily,Rarely,Never,Daily,Monthly,Rarely,Daily,Never,Never,Cashbacks on transaction amounts;Discounts on bills and recharges;Referral bonuses for inviting friends;Special discounts on partner merchant stores,Cash,Very Important,Very Important,Moderately Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,No,Transaction Failures,No Change,Significantly Increased,Significantly Increased,Moderately Declined,Moderately Declined,Significantly Increased,No Change,No,Occasionally,4,10
21,Male,Student,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,PhonePe,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Cashbacks on transaction amounts;Discounts on bills and recharges,Debit card,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,No,Transaction Failures,Significantly Increased,Significantly Increased,Significantly Increased,Significantly Increased,Significantly Increased,Significantly Increased,Significantly Increased,Yes,Frequently,5,9
40,Female,Salaried Professional,"Above ₹1,00,000",Urban,Yes,,Daily,Google Pay,"No, I only use my primary UPI app",Very Satisfied,Very Satisfied,Neutral,Very Satisfied,Satisfied,Very Satisfied,Rarely,Rarely,Monthly,Rarely,Rarely,Rarely,Daily,Never,Rarely,Cashbacks on transaction amounts;Discounts on bills and recharges,Cash,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Moderately Important,Moderately Important,Very Important,No,Transaction Failures,Significantly  Declined,Significantly Increased,Significantly  Declined,Significantly Increased,Significantly  Declined,Significantly Increased,Significantly Increased,No,Frequently,5,10
22,Male,Student,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,Amazon Pay,Very Satisfied,Satisfied,Neutral,Satisfied,Very Satisfied,Satisfied,Rarely,Monthly,Monthly,Weekly,Rarely,Never,Daily,Never,Never,Cashbacks on transaction amounts;Discounts on bills and recharges,Cash,Very Important,Very Important,Moderately Important,Moderately Important,Slightly Important,Slightly Important,Moderately Important,Important,Very Important,No,Transaction Failures,Significantly  Declined,Significantly Increased,Moderately Increased,Significantly Increased,Moderately Declined,Moderately Increased,Significantly Increased,No,Frequently,5,10
24,Female,Salaried Professional,"₹20,000 - ₹50,000",Urban,Yes,,Daily,Google Pay,Google Pay;Paytm,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Rarely,Cashbacks on transaction amounts;Discounts on bills and recharges;Special discounts on partner merchant stores,Debit card,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Technical Glitches;Transaction Failures,Significantly Increased,Significantly Increased,Significantly Increased,Significantly Increased,Significantly Increased,Significantly Increased,Significantly Increased,No,Frequently,5,10
24,Female,Other,"Below ₹20,000",Urban,Yes,,Weekly,Google Pay,BHIM UPI,Neutral,Neutral,Very Dissatisfied,Dissatisfied,Neutral,Dissatisfied,Daily,Monthly,Monthly,Rarely,Rarely,Rarely,Weekly,Monthly,Rarely,Cashbacks on transaction amounts,Cash,Very Important,Very Important,Very Important,Slightly Important,Very Important,Very Important,Important,Important,Slightly Important,Yes,Technical Glitches;Transaction Failures;Security Concerns,Moderately Increased,Significantly Increased,Moderately Increased,Moderately Increased,Moderately Declined,Moderately Increased,Significantly Increased,Yes,Frequently,3,6
24,Male,Salaried Professional,"₹20,000 - ₹50,000",Urban,Yes,,Daily,Google Pay,PhonePe;Paytm,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Weekly,Rarely,Monthly,Monthly,Monthly,Weekly,Monthly,Never,Never,Cashbacks on transaction amounts;Discounts on bills and recharges,Debit card,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Moderately Important,Very Important,Important,Yes,Technical Glitches;Transaction Failures,Moderately Declined,No Change,Moderately Declined,No Change,No Change,Moderately Increased,Moderately Increased,Yes,Frequently,5,10
30,Male,Salaried Professional,"₹50,000 - ₹1,00,000",Urban,Yes,,Daily,Google Pay,PhonePe;Amazon Pay,Satisfied,Satisfied,Dissatisfied,Very Satisfied,Neutral,Satisfied,Weekly,Monthly,Monthly,Weekly,Weekly,Rarely,Never,Monthly,Never,Exclusive offers on financial products,Debit card,Very Important,Very Important,Moderately Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,No,Transaction Failures,Significantly  Declined,Significantly Increased,Significantly  Declined,Significantly Increased,Moderately Declined,Significantly Increased,Significantly Increased,Yes,Occasionally,5,10
22,Male,Student,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,Google Pay;PhonePe;Paytm,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Daily,Monthly,Monthly,Daily,Weekly,Daily,Daily,Monthly,Weekly,Cashbacks on transaction amounts;Discounts on bills and recharges;Referral bonuses for inviting friends,Debit card,Very Important,Very Important,Very Important,Very Important,Not Important,Very Important,Slightly Important,Very Important,Very Important,Yes,Technical Glitches;Transaction Failures;Security Concerns,Significantly  Declined,Significantly Increased,Significantly Increased,Significantly Increased,Significantly  Declined,Significantly Increased,Significantly Increased,No,Frequently,4,7
48,Male,Business Owner,"Above ₹1,00,000",Semi urban,Yes,,Daily,Paytm,Google Pay;PhonePe,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Weekly,Rarely,Monthly,Monthly,Rarely,Rarely,Rarely,Monthly,Never,Cashbacks on transaction amounts;Discounts on bills and recharges;Special discounts on partner merchant stores,Cash,Very Important,Very Important,Moderately Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Yes,Technical Glitches;Transaction Failures;Security Concerns,Moderately Declined,Moderately Increased,Moderately Increased,Moderately Increased,No Change,No Change,Significantly Increased,Yes,Never,4,9
23,Female,Salaried Professional,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,"No, I only use my primary UPI app",Very Satisfied,Neutral,Satisfied,Neutral,Satisfied,Neutral,Monthly,Rarely,Monthly,Monthly,Rarely,Rarely,Rarely,Rarely,Rarely,Cashbacks on transaction amounts;Discounts on bills and recharges,Net banking,Moderately Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,No,Transaction Failures,Moderately Increased,Moderately Increased,Moderately Increased,Moderately Increased,Moderately Increased,Moderately Increased,Moderately Increased,Yes,Frequently,4,9
34,Male,Salaried Professional,"₹20,000 - ₹50,000",Urban,Yes,,Daily,Google Pay,Paytm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Rarely,Monthly,Monthly,Monthly,Monthly,Rarely,Monthly,Monthly,Monthly,Cashbacks on transaction amounts;Discounts on bills and recharges,Debit card,Important,Moderately Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,No,Other,Moderately Increased,Significantly Increased,Significantly Increased,Significantly Increased,Moderately Declined,Significantly  Declined,No Change,No,Frequently,5,10
44,Male,Salaried Professional,"Above ₹1,00,000",Urban,Yes,,Daily,PhonePe,Google Pay;Paytm,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Weekly,Monthly,Monthly,Daily,Monthly,Monthly,Monthly,Monthly,Monthly,Cashbacks on transaction amounts;Special discounts on partner merchant stores,Cash,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,No,Technical Glitches;Transaction Failures,Significantly  Declined,Significantly  Declined,Significantly  Declined,Significantly  Declined,Significantly  Declined,Significantly  Declined,Significantly  Declined,Yes,Frequently,5,10
45,Male,Salaried Professional,"₹20,000 - ₹50,000",Urban,Yes,,Daily,PhonePe,Google Pay;Amazon Pay,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Never,Daily,Monthly,Weekly,Rarely,Monthly,Daily,Never,Never,Cashbacks on transaction amounts;Discounts on bills and recharges,Cash,Moderately Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Yes,Technical Glitches;Security Concerns,No Change,Moderately Increased,Moderately Increased,Significantly Increased,No Change,Moderately Increased,Significantly Increased,No,Frequently,4,7
34,Male,Salaried Professional,"₹50,000 - ₹1,00,000",Urban,Yes,,Daily,Paytm,Google Pay;PhonePe,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Daily,Monthly,Rarely,Weekly,Monthly,Never,Never,Never,Never,Discounts on bills and recharges;Referral bonuses for inviting friends,Net banking,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Yes,Technical Glitches,Significantly  Declined,No Change,Moderately Declined,No Change,No Change,Moderately Declined,Significantly  Declined,No,Frequently,5,1
29,Male,Freelancer/Gig Worker,"₹50,000 - ₹1,00,000",Semi urban,Yes,,Daily,Google Pay,PhonePe,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Weekly,Monthly,Monthly,Rarely,Rarely,Monthly,Rarely,Rarely,Never,Cashbacks on transaction amounts;Discounts on bills and recharges;Special discounts on partner merchant stores,Credit card,Very Important,Very Important,Important,Important,Very Important,Important,Moderately Important,Very Important,Very Important,Yes,Technical Glitches;Transaction Failures,Significantly  Declined,Moderately Increased,Moderately Increased,Moderately Increased,No Change,No Change,Significantly Increased,Yes,Occasionally,4,8
45,Male,Other,"Below ₹20,000",Semi urban,Yes,,Daily,PhonePe,"No, I only use my primary UPI app",Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Rarely,Rarely,Monthly,Never,Rarely,Monthly,Never,Never,Never,Cashbacks on transaction amounts,Cash,Very Important,Very Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Security Concerns,Moderately Declined,Moderately Increased,No Change,No Change,No Change,No Change,Moderately Increased,Yes,Rarely,5,10
24,Male,Student,"Below ₹20,000",Urban,Yes,,Rarely,Google Pay,Google Pay,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Cashbacks on transaction amounts;Discounts on bills and recharges;Referral bonuses for inviting friends;Special discounts on partner merchant stores;Exclusive offers on financial products,Debit card,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,No,Transaction Failures,Moderately Increased,No Change,Moderately Increased,No Change,Moderately Increased,No Change,Moderately Increased,No,Frequently,1,2
24,Male,Freelancer/Gig Worker,"Below ₹20,000",Semi urban,Yes,,Daily,Google Pay,PhonePe,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Cashbacks on transaction amounts;Discounts on bills and recharges,Cash,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,No,Transaction Failures,Significantly  Declined,Significantly Increased,Significantly Increased,Significantly Increased,Significantly Increased,Significantly Increased,Significantly Increased,Yes,Frequently,5,10
30,Female,Freelancer/Gig Worker,"Below ₹20,000",Semi urban,Yes,,Daily,PhonePe,Google Pay;PhonePe,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Cashbacks on transaction amounts;Discounts on bills and recharges,Debit card,Important,Important,Important,Important,Important,Important,Important,Important,Important,Yes,Transaction Failures,Significantly Increased,Significantly Increased,Significantly Increased,Significantly Increased,Significantly Increased,Significantly Increased,Significantly Increased,Yes,Occasionally,4,10
50,Male,Business Owner,"Above ₹1,00,000",Semi urban,Yes,,Daily,Paytm,"No, I only use my primary UPI app",Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Never,Never,Never,Never,Never,Never,Never,Monthly,Rarely,Cashbacks on transaction amounts;Discounts on bills and recharges;Exclusive offers on financial products,Cash,Very Important,Very Important,Slightly Important,Important,Very Important,Very Important,Moderately Important,Very Important,Very Important,Yes,Technical Glitches;Transaction Failures,No Change,No Change,No Change,No Change,No Change,No Change,No Change,Yes,Never,4,9
48,Male,Business Owner,"Above ₹1,00,000",Urban,Yes,,Daily,Google Pay,Paytm,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Rarely,Monthly,Monthly,Rarely,Rarely,Monthly,Rarely,Monthly,Rarely,Cashbacks on transaction amounts;Special discounts on partner merchant stores,Net banking,Very Important,Important,Moderately Important,Very Important,Very Important,Very Important,Moderately Important,Very Important,Very Important,No,Technical Glitches;Transaction Failures,Moderately Declined,Moderately Declined,No Change,Moderately Increased,No Change,No Change,Moderately Increased,Yes,Frequently,5,10
35,Male,Salaried Professional,"₹50,000 - ₹1,00,000",Urban,Yes,,Daily,Paytm,PhonePe;Amazon Pay;BHIM UPI,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Monthly,Weekly,Weekly,Weekly,Monthly,Monthly,Daily,Never,Never,Cashbacks on transaction amounts;Discounts on bills and recharges;Special discounts on partner merchant stores,Credit card,Important,Very Important,Important,Important,Important,Important,Moderately Important,Important,Important,No,Technical Glitches,Moderately Declined,No Change,No Change,No Change,No Change,No Change,No Change,No,Frequently,4,9
43,Male,Other,"Below ₹20,000",Semi urban,Yes,,Daily,Paytm,Paytm,Very Satisfied,Very Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Never,Never,Monthly,Never,Never,Rarely,Never,Never,Never,Cashbacks on transaction amounts,Cash,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Moderately Important,Moderately Important,Very Important,Yes,Transaction Failures;Security Concerns,Moderately Declined,No Change,No Change,No Change,No Change,No Change,Moderately Increased,Yes,Frequently,4,9
44,Male,Other,"₹20,000 - ₹50,000",Semi urban,Yes,,Daily,Paytm,Paytm,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Never,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Never,Never,Cashbacks on transaction amounts;Discounts on bills and recharges,Cash,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Yes,Transaction Failures;Security Concerns,Moderately Declined,No Change,No Change,No Change,No Change,No Change,No Change,Yes,Frequently,4,9
38,Male,Other,"₹20,000 - ₹50,000",Semi urban,Yes,,Daily,PhonePe,"PhonePe;No, I only use my primary UPI app",Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Rarely,Rarely,Monthly,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Cashbacks on transaction amounts;Discounts on bills and recharges,Cash,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Very Important,Yes,Transaction Failures;Security Concerns,Moderately Declined,No Change,No Change,No Change,No Change,No Change,Moderately Increased,Yes,Frequently,4,8
34,Male,Other,"₹20,000 - ₹50,000",Semi urban,Yes,,Daily,BHIM,"No, I only use my primary UPI app",Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Never,Rarely,Monthly,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Cashbacks on transaction amounts,Cash,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Technical Glitches;Security Concerns,Moderately Declined,Moderately Declined,Moderately Increased,Moderately Increased,Moderately Increased,No Change,Moderately Increased,Yes,Frequently,4,10
30,Male,Other,"₹20,000 - ₹50,000",Semi urban,Yes,,Daily,BHIM,"BHIM UPI;No, I only use my primary UPI app",Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Rarely,Rarely,Monthly,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Cashbacks on transaction amounts,Cash,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Very Important,Yes,Transaction Failures;Security Concerns,Moderately Declined,Moderately Increased,Moderately Increased,Moderately Increased,Moderately Increased,No Change,Moderately Increased,Yes,Frequently,5,10
36,Male,Other,"Below ₹20,000",Semi urban,Yes,,Daily,BHIM,"No, I only use my primary UPI app",Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Rarely,Rarely,Monthly,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Cashbacks on transaction amounts,Cash,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Very Important,Yes,Transaction Failures;Security Concerns,Moderately Declined,Moderately Increased,Moderately Increased,No Change,No Change,No Change,No Change,Yes,Frequently,5,10
40,Male,Salaried Professional,"₹50,000 - ₹1,00,000",Semi urban,Yes,,Daily,Google Pay,Google Pay;PhonePe;Paytm;Amazon Pay;BHIM UPI,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Monthly,Monthly,Monthly,Monthly,Rarely,Rarely,Daily,Never,Never,Cashbacks on transaction amounts;Discounts on bills and recharges,Credit card,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,No,Technical Glitches;Transaction Failures,Moderately Increased,Significantly Increased,Moderately Increased,Moderately Increased,No Change,Moderately Increased,Moderately Increased,No,Frequently,4,9
27,Male,Salaried Professional,"₹20,000 - ₹50,000",Urban,Yes,,Daily,PhonePe,"No, I only use my primary UPI app",Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Weekly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Rarely,Cashbacks on transaction amounts;Discounts on bills and recharges,Debit card,Very Important,Very Important,Important,Important,Very Important,Very Important,Important,Very Important,Very Important,No,Transaction Failures,Moderately Declined,Moderately Increased,Moderately Increased,Moderately Increased,Moderately Increased,No Change,Moderately Increased,Yes,Frequently,5,10
27,Male,Salaried Professional,"₹20,000 - ₹50,000",Urban,Yes,,Daily,PhonePe,"No, I only use my primary UPI app",Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Never,Rarely,Never,Cashbacks on transaction amounts,Cash,Very Important,Very Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,No,Transaction Failures,Moderately Declined,Moderately Increased,Moderately Increased,Moderately Increased,No Change,No Change,Moderately Increased,Yes,Frequently,5,10
28,Male,Salaried Professional,"₹20,000 - ₹50,000",Urban,Yes,,Daily,PhonePe,Google Pay,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Rarely,Monthly,Never,Cashbacks on transaction amounts;Discounts on bills and recharges,Cash,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Yes,Technical Glitches,Moderately Declined,Moderately Increased,Significantly Increased,Significantly Increased,Moderately Increased,No Change,Significantly Increased,Yes,Frequently,5,10
29,Male,Salaried Professional,"₹20,000 - ₹50,000",Urban,Yes,,Daily,PhonePe,"PhonePe;No, I only use my primary UPI app",Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Monthly,Monthly,Monthly,Rarely,Monthly,Monthly,Monthly,Rarely,Never,Cashbacks on transaction amounts;Discounts on bills and recharges,Cash,Very Important,Very Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,No,Technical Glitches,Moderately Declined,Moderately Increased,Moderately Increased,Moderately Increased,No Change,No Change,Moderately Increased,Yes,Frequently,5,10
35,Male,Salaried Professional,"₹50,000 - ₹1,00,000",Semi urban,Yes,,Daily,Amazon Pay.,Google Pay,Very Satisfied,Very Satisfied,Neutral,Satisfied,Very Satisfied,Very Satisfied,Daily,Monthly,Monthly,Rarely,Monthly,Monthly,Monthly,Monthly,Never,Cashbacks on transaction amounts;Discounts on bills and recharges,Net banking,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,No,Technical Glitches;Transaction Failures,Moderately Declined,Moderately Increased,Moderately Increased,Moderately Increased,Moderately Increased,No Change,Moderately Increased,Yes,Frequently,5,10
35,Female,Business Owner,"₹20,000 - ₹50,000",Semi urban,Yes,,Daily,Paytm,Paytm;BHIM UPI,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Weekly,Monthly,Monthly,Rarely,Rarely,Monthly,Rarely,Rarely,Never,Cashbacks on transaction amounts;Discounts on bills and recharges,Cash,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Moderately Important,Important,Important,No,Transaction Failures,Moderately Declined,Moderately Increased,No Change,Moderately Increased,No Change,No Change,Moderately Increased,Yes,Occasionally,5,10
